"Probes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"chr"	"pos"	"strand"	"Type"	"Relation_to_Island"	"UCSC_RefGene_Name"	"UCSC_RefGene_Accession"	"UCSC_RefGene_Group"	"Regulatory_Feature_Group"
"cg00121039"	0.517445828735005	-3.06089704773575	4.56989815716185	0.000752897275684907	0.0464243525310066	-0.280433620174297	"chr14"	94946703	"-"	"II"	"OpenSea"	""	""	""	""
"cg00121197"	0.958540137610867	-2.07309028877128	8.54540919599826	2.91589766070705e-06	0.00217685028554401	4.9868016698225	"chr12"	14993777	"+"	"II"	"OpenSea"	"ART4"	"NM_021071"	"Body"	""
"cg00121389"	0.731024422127415	-1.35743756672911	5.50574323010139	0.000168507404420667	0.0225048842995407	1.17555088960503	"chr8"	17555302	"-"	"II"	"OpenSea"	"MTUS1"	"NM_001001931;NM_020749;NM_001001925;NM_001166393;NM_001001924"	"Body"	"Promoter_Associated"
"cg00122653"	-0.595706672762243	0.512700602703959	-4.72694357535015	0.00058068140766393	0.0410508809428919	-0.0269944574817726	"chr1"	101846809	"-"	"II"	"OpenSea"	""	""	""	""
"cg00123622"	0.790406547521498	0.983229896563732	6.72674695405912	2.87219242282079e-05	0.00879801477280584	2.87012579899225	"chr16"	81739335	"+"	"II"	"OpenSea"	"CMIP"	"NM_198390;NM_030629"	"Body"	""
"cg00126412"	-1.37313878463432	-1.29218994707812	-11.815490508221	1.06315105623176e-07	0.000287810874853866	7.82027147563914	"chr10"	5607725	"-"	"II"	"OpenSea"	""	""	""	""
"cg00127725"	-0.59044667934129	0.335745640765058	-5.25663077512656	0.000247996570338174	0.0273918531432162	0.801042196994294	"chr3"	186790122	"-"	"II"	"OpenSea"	"ST6GAL1"	"NM_003032;NM_173216;NM_173217"	"Body"	""
"cg00128197"	0.97084594512768	-2.87745960694211	7.72307914700881	7.82476375278327e-06	0.00414078229315245	4.08602845539115	"chrX"	53461455	"+"	"II"	"Island"	"HSD17B10"	"NM_001037811;NM_004493"	"TSS200"	"Promoter_Associated"
"cg00129466"	0.798344463098663	-1.11644788318802	5.44470318925015	0.000185092332907168	0.023600036613361	1.08468566640834	"chr2"	201601069	"-"	"II"	"OpenSea"	"LOC100507140"	"NR_037886;NR_001557"	"TSS1500"	""
"cg00141989"	-0.543531633998504	0.0611447156961014	-4.76798730092395	0.000542874373285688	0.0397934959718453	0.038662475880737	"chr3"	191548708	"-"	"II"	"OpenSea"	""	""	""	""
"cg00143364"	-0.635742316998582	3.3390730987284	-4.8893880350261	0.00044545973206622	0.0363331192688944	0.231425340094782	"chr17"	78605344	"-"	"I"	"OpenSea"	"RPTOR"	"NM_001163034;NM_020761"	"Body"	""
"cg00145348"	0.673294552352346	-3.12438365021712	5.21269418056552	0.000265730793373658	0.0282654109887243	0.733983520522887	"chrX"	55026862	"-"	"II"	"Island"	"APEX2"	"NM_014481"	"1stExon"	"Promoter_Associated_Cell_type_specific"
"cg00146227"	0.637341847626476	-2.98626954761401	5.73654582612949	0.000118721160948142	0.0188499941677196	1.5138128010493	"chr3"	186434962	"-"	"II"	"OpenSea"	"KNG1"	"NM_000893;NM_001102416;NM_001166451"	"TSS200"	""
"cg00147227"	0.593842654388544	0.566196713882605	5.2790564171072	0.000239431408385894	0.0269028378466423	0.835153907018144	"chr2"	71789949	"-"	"II"	"S_Shelf"	"DYSF"	"NM_001130981;NM_001130976;NM_003494;NM_001130977;NM_001130979;NM_001130978;NM_001130980;NM_001130983;NM_001130985;NM_001130455;NM_001130984;NM_001130987;NM_001130986;NM_001130982"	"Body"	""
"cg00148114"	0.638746535476242	-1.815049829021	4.79090059187407	0.000522902003601933	0.0391209706131481	0.0752102079177259	"chr7"	5468197	"-"	"II"	"Island"	""	""	""	"Unclassified_Cell_type_specific"
"cg00148464"	0.508581720864342	2.15774021340337	4.93637896073716	0.000412858827642104	0.0348917760558483	0.305453000856675	"chr18"	46987550	"+"	"II"	"S_Shore"	"DYM"	"NM_017653"	"TSS1500"	"Promoter_Associated"
"cg00149859"	0.783819782344122	-2.91733093859917	6.44528499245083	4.24197112036484e-05	0.0108365507025892	2.50007596341362	"chr17"	72476628	"-"	"II"	"OpenSea"	"CD300A"	"NM_007261;NM_001256841"	"Body"	""
"cg00151048"	-0.868989116774017	-1.66367854030306	-6.2796432983531	5.36245662024999e-05	0.0122983762733786	2.27660964757117	"chr1"	102098127	"-"	"II"	"OpenSea"	""	""	""	""
"cg00151661"	-0.659748419766013	0.643792277591691	-6.0647428752542	7.3085865796398e-05	0.0145496877221978	1.98032104966349	"chr9"	139434133	"+"	"II"	"OpenSea"	"NOTCH1"	"NM_017617"	"Body"	""
"cg00152082"	0.817597398705297	-0.795177151401378	7.52916513363193	9.98435695120611e-06	0.00478327032658577	3.86047746500313	"chr2"	48446546	"-"	"II"	"OpenSea"	""	""	""	""
"cg00158770"	0.970140980470175	-2.34220080458768	7.49774076090233	1.03908789036314e-05	0.00491122126450266	3.82343475698002	"chr8"	19271585	"-"	"II"	"OpenSea"	"CSGALNACT1"	"NM_018371;NM_001130518;NR_024040"	"Body"	""
"cg00159243"	-0.971045301898987	-2.63341574702414	-8.55657120320198	2.87850889159232e-06	0.0021625904685954	4.99843320574174	"chr12"	109023799	"-"	"I"	"OpenSea"	"SELPLG"	"NM_003006"	"5'UTR"	"Promoter_Associated"
"cg00160018"	-0.679204428387553	0.577337871885236	-6.05362413338045	7.42788767737143e-05	0.0146659057089507	1.96479445181755	"chr6"	33226913	"-"	"II"	"OpenSea"	"VPS52"	"NM_022553"	"Body"	""
"cg00160143"	-1.3481413777394	0.75479737668283	-10.8380032858594	2.61822176132986e-07	0.00048794455998708	7.08233973538877	"chr7"	17442316	"+"	"II"	"OpenSea"	"KCCAT333"	"NR_110014;NR_110015"	"Body"	""
"cg00160753"	-0.584502135739125	0.668151357917465	-5.36101519052174	0.000210696444370864	0.0251357897827674	0.959154369158432	"chr19"	52483893	"-"	"II"	"OpenSea"	"ZNF350-AS1"	"NR_103847;NM_021632"	"Body"	""
"cg00160902"	-0.604194150877557	0.412436483651926	-5.29179077852265	0.000234707489625255	0.0266017906044929	0.854489315563055	"chr4"	16944285	"-"	"II"	"OpenSea"	""	""	""	""
"cg00160911"	0.556438207354646	-3.20715689923468	4.9870489977986	0.000380505444853521	0.0335887724422743	0.384905732367193	"chr14"	70041888	"+"	"II"	"S_Shore"	"CCDC177"	"NM_001271507"	"TSS1500"	"Unclassified"
"cg00163006"	0.542644545526783	1.22806197386764	5.37396069933963	0.000206502320858961	0.0249120216829425	0.978644356294253	"chr17"	4417124	"+"	"II"	"OpenSea"	"SPNS2"	"NM_001124758"	"Body"	""
"cg00164196"	0.529682576965354	0.772975347765672	4.62629337350692	0.000685587163970878	0.0444235507568112	-0.189023782604382	"chr2"	162095477	"+"	"II"	"Island"	""	""	""	"Promoter_Associated"
"cg00168439"	1.20063921527192	-0.911037959581325	8.45794624392675	3.2276129177885e-06	0.0023400816554449	4.89512432745193	"chr3"	55926920	"-"	"II"	"OpenSea"	"ERC2"	"NM_015576"	"Body"	""
"cg00169026"	0.805642909045535	-2.94872861429958	5.15770992310568	0.000289832941954161	0.0295169818315761	0.649641972726303	"chr9"	77816264	"+"	"II"	"OpenSea"	""	""	""	""
"cg00170056"	-0.608371428157182	-2.89306469352311	-5.52115818052367	0.000164573290059547	0.0222781952069205	1.19840501742351	"chr19"	37861986	"+"	"II"	"Island"	"ZNF527"	"NM_032453"	"TSS200"	"Unclassified"
"cg00172872"	-0.730183421780913	-2.28483846372314	-6.68857925346448	3.02632365747518e-05	0.00903900088113235	2.82065177628905	"chr12"	89461426	"+"	"II"	"OpenSea"	""	""	""	""
"cg00176111"	-0.630851024497515	1.40321617870995	-4.64492465564179	0.000664762541149451	0.0438384807548781	-0.158922376334012	"chr1"	27331151	"+"	"II"	"N_Shore"	""	""	""	""
"cg00178279"	0.542714124576265	-0.32410650781102	5.15606408984824	0.000290589054127375	0.0295554178402177	0.647110196499085	"chr12"	31921214	"+"	"II"	"OpenSea"	""	""	""	""
"cg00183480"	0.778879010366904	0.604243489351052	7.42892505000771	1.13444748750695e-05	0.0051740199325651	3.74183159779881	"chr21"	43387536	"+"	"II"	"OpenSea"	""	""	""	""
"cg00184799"	-0.813993867565929	1.45503023828299	-6.22109334348979	5.83082096865402e-05	0.0128789356543732	2.1966008929265	"chr8"	38722544	"+"	"II"	"OpenSea"	""	""	""	""
"cg00191903"	-0.674479902386734	-0.497412643794825	-5.6526271357804	0.000134725728704622	0.0200969093600024	1.39179634296677	"chrX"	105451070	"-"	"II"	"OpenSea"	"MUM1L1"	"NM_152423"	"Body"	""
"cg00192533"	-0.758896791571289	-2.15501363893107	-6.72822439806064	2.86639742949054e-05	0.00879287951575781	2.87203647738297	"chr15"	27017906	"-"	"II"	"Island"	"GABRB3"	"NM_000814;NM_021912"	"Body"	""
"cg00192535"	-0.797100600165842	2.32830344058523	-6.2398661930314	5.67607018466271e-05	0.012627438124502	2.22231227430299	"chr11"	34609696	"+"	"II"	"OpenSea"	""	""	""	""
"cg00192554"	0.991925236624439	0.665998459273488	8.07591862552627	5.07723773126611e-06	0.00312043711092462	4.48333339562125	"chr12"	105144882	"-"	"II"	"OpenSea"	"CHST11"	"NM_001173982;NM_018413"	"Body"	"Unclassified_Cell_type_specific"
"cg00197273"	0.880921148147747	-2.61381547754087	7.25390169408504	1.42191639908235e-05	0.00588033492839634	3.53126140069787	"chr2"	241831522	"+"	"II"	"S_Shelf"	"C2orf54"	"NM_024861;NM_001282921;NM_001085437"	"TSS200"	""
"cg00198066"	0.548767485882177	-0.413013120807649	5.04343117254429	0.000347623352869939	0.0322212920563844	0.472859470275272	"chr2"	136964552	"-"	"II"	"OpenSea"	""	""	""	""
"cg00198729"	-0.72313707300641	1.92778578887674	-5.60653691250953	0.000144476885109245	0.0208710207636439	1.32430821558597	"chr17"	42020748	"-"	"II"	"OpenSea"	"PPY"	"NM_002722"	"TSS1500"	"Unclassified"
"cg00200629"	-0.674197599705428	0.645114686591684	-4.83800081772375	0.000484235278785988	0.0377107446567571	0.15009619010845	"chr9"	98743029	"+"	"II"	"OpenSea"	"ERCC6L2"	"NM_020207"	"Body"	""
"cg00203805"	0.681124649397372	-1.96132145302443	5.51199281114095	0.000166900536727734	0.0224268955893757	1.18482100178621	"chr17"	78460028	"-"	"II"	"OpenSea"	""	""	""	""
"cg00206389"	0.619916532863959	-2.40767775731068	5.1083602655435	0.000313435207347902	0.0306569129233767	0.573546512849729	"chr3"	180948630	"+"	"II"	"OpenSea"	"RNU6-2"	"NR_125730;NR_075091;NR_075092;NR_075093"	"TSS1500"	""
"cg00207329"	0.679920722940497	-0.843505482694218	6.9201407850346	2.21021010558536e-05	0.00760644037411879	3.11744280779985	"chr4"	183133948	"+"	"II"	"OpenSea"	""	""	""	""
"cg00216200"	0.796858308775267	-3.12160886313987	5.21598086673951	0.000264358879298704	0.0281850816031107	0.739010224151916	"chr7"	142567389	"-"	"II"	"OpenSea"	"EPHB6"	"NR_104001;NM_004445;NM_001280795;NM_001280794"	"Body"	""
"cg00216361"	-0.569012591066919	-3.19056611110148	-4.69784799064853	0.000609152140517631	0.042051806160332	-0.0736850972132155	"chr3"	115342527	"+"	"II"	"OpenSea"	"GAP43"	"NM_001130064;NM_002045;NM_001130064;NM_002045"	"1stExon"	""
"cg00216512"	0.609336353253315	-3.2578242668118	5.66044325597801	0.000133142574709669	0.0199640676359314	1.40320788611855	"chr3"	64337491	"-"	"II"	"OpenSea"	""	""	""	""
