	HGNC	MDAMB231_G4_vs_NoGuide:logFC	MDAMB231_G4_vs_NoGuide:adj.P.Val	MDAMB231_GAll_vs_NoGuide:logFC	MDAMB231_GAll_vs_NoGuide:adj.P.Val	SUM159_G4_vs_NoGuide:logFC	SUM159_G4_vs_NoGuide:adj.P.Val	SUM159_GAll_vs_NoGuide:logFC	SUM159_GAll_vs_NoGuide:adj.P.Val
ENSG00000005059	MCUB	0.580932751674906	1.0	-0.0672110055196411	1.0	0.556688742777602	1.0	0.187745529509816	1.0
ENSG00000005075	POLR2J	0.236568479698412	1.0	-0.0376777593426088	1.0	0.190401622009469	1.0	0.113777880296436	1.0
ENSG00000005100	DHX33	0.286510564996843	1.0	0.405734713565895	1.0	-0.121541199793871	1.0	-0.0582322931893078	1.0
ENSG00000005156	LIG3	0.331256810506431	1.0	0.987549766615114	1.0	-0.502099016199853	1.0	-0.459083938393381	1.0
ENSG00000005175	RPAP3	0.166573036917744	1.0	-0.044575836274845	1.0	-0.1922371044729	1.0	-0.293944013885736	1.0
ENSG00000005189	REXO5	-0.897272651208176	1.0	-0.368430337341306	1.0	-0.522102846065924	1.0	-0.137255081938403	1.0
ENSG00000005194	CIAPIN1	0.1768842970869	1.0	0.276821559930298	1.0	-0.110957742634812	1.0	-0.0402622694819676	1.0
ENSG00000005206	SPPL2B	-0.452626455996099	1.0	-0.399846770661026	1.0	-0.154802188784855	1.0	0.176192938166537	1.0
ENSG00000005238	FAM214B	-0.426987420056285	1.0	0.120970573820099	1.0	-0.423219029829389	1.0	-0.121181653986662	1.0
ENSG00000005302	MSL3	-0.0063158856089726	1.0	-0.367546645277559	1.0	-0.320755919693848	1.0	-0.25757826099963	1.0
ENSG00000005339	CREBBP	-0.606811828364101	1.0	-0.327128160123268	1.0	-0.364030749154478	1.0	0.170030346900467	1.0
ENSG00000005436	GCFC2	-0.490099971259061	1.0	0.0836845083349562	1.0	-0.0170777692047031	1.0	0.0049637786080154	1.0
ENSG00000005448	WDR54	-0.2657433668615	1.0	-0.274533095789508	1.0	0.191271902187282	1.0	0.0899948516008235	1.0
ENSG00000005469	CROT	0.200418670654094	1.0	-0.877753807825488	1.0	-0.0810373420084978	1.0	0.141718285877438	1.0
ENSG00000005483	KMT2E	-0.441509765207198	1.0	0.0411711020893817	1.0	-0.184048366462865	1.0	-0.139245801671165	1.0
ENSG00000005486	RHBDD2	0.720324276743207	1.0	0.229323425096577	1.0	-0.161698747606487	1.0	-0.477703473450177	1.0
ENSG00000005700	IBTK	-0.76946765957661	1.0	0.284235649543165	1.0	-0.154219589398463	1.0	-0.0609482631796245	1.0
ENSG00000005801	ZNF195	-0.0547399418490961	1.0	0.0562625451682939	1.0	0.200893894005785	1.0	0.139605888102548	1.0
ENSG00000005810	MYCBP2	-0.0552786164856673	1.0	0.100962976082033	1.0	-0.193139777229601	1.0	-0.317627987053569	1.0
ENSG00000005812	FBXL3	-0.0767698600399429	1.0	-0.026810030691431	1.0	-0.13408278200942	1.0	-0.208389817771923	1.0
ENSG00000005882	PDK2	-0.493311115669226	1.0	-0.756260293545833	1.0	-0.537036018650074	1.0	-0.433880320313305	1.0
ENSG00000005884	ITGA3	-0.536255291222554	1.0	0.105999919928484	1.0	0.163913191243759	1.0	0.305370643708889	1.0
ENSG00000005889	ZFX	-0.0506719961836843	1.0	-0.583793859810468	1.0	-0.138143031410453	1.0	0.101697069931959	1.0
ENSG00000005893	LAMP2	-0.222733343553899	1.0	-0.15056214011187	1.0	0.310239591927105	1.0	0.22374969181536	1.0
ENSG00000006007	GDE1	0.252400174892255	1.0	0.221079675566944	1.0	-0.204115788700181	1.0	-0.114809118711078	1.0
ENSG00000006015	REX1BD	-0.307444429972088	1.0	-0.0845472473301156	1.0	0.411798088764905	1.0	0.187809408993796	1.0
ENSG00000006025	OSBPL7	-0.462932770190567	1.0	-0.165430259139344	1.0	-1.48538042868505	1.0	-0.625533731525751	1.0
ENSG00000006062	MAP3K14	0.187234881298478	1.0	-0.096598601459795	1.0	-0.0791897363238339	1.0	-0.247219728581086	1.0
ENSG00000006118	TMEM132A	0.0809135028538206	1.0	0.341303314590854	1.0	0.512568707641377	1.0	0.386498658836881	1.0
ENSG00000006125	AP2B1	0.148125682175387	1.0	-0.058842400535438	1.0	-0.112428292824847	1.0	-0.14345851025857	1.0
ENSG00000006194	ZNF263	-0.113622654063205	1.0	-0.249944757213727	1.0	-0.0709936180987221	1.0	0.0961644125626995	1.0
ENSG00000006282	SPATA20	-0.919351018560155	1.0	0.313962056990315	1.0	-0.430014724685968	1.0	0.0326682725365579	1.0
ENSG00000006327	TNFRSF12A	-0.220359036070082	1.0	0.799381114851444	1.0	0.0959037095782191	1.0	0.0461606599368762	1.0
ENSG00000006432	MAP3K9	0.894112431523322	1.0	0.951020502258661	1.0	0.965424418337968	1.0	1.13104169548454	1.0
ENSG00000006451	RALA	0.502448420732111	1.0	0.739519036490527	1.0	0.135057946205634	1.0	-0.154354938785599	1.0
ENSG00000006453	BAIAP2L1	0.964396556261453	1.0	1.46504349762225	0.000175431703315	0.1595196823204	1.0	0.335523867029504	1.0
ENSG00000006459	KDM7A	-1.87226322152418	0.0139803051855075	0.958580569665497	1.0	0.45216138247817	1.0	0.464913527773475	1.0
ENSG00000006468	ETV1	-1.58042978713186	0.0011959422359468	-1.14553041208567	1.0	0.196951072739964	1.0	0.0021573684838784	1.0
ENSG00000006530	AGK	0.104882649829046	1.0	-0.208124068328324	1.0	-0.0749923139686315	1.0	-0.318793945476681	1.0
ENSG00000006534	ALDH3B1	-1.82234110389412	1.78425791397895e-07	-0.610793146607984	1.0	-0.747394213968692	1.0	-0.600467559071779	1.0
ENSG00000006576	PHTF2	-0.409320679599356	1.0	-0.0614422880904462	1.0	0.139253402492111	1.0	-0.150249798143118	1.0
ENSG00000006607	FARP2	0.676059714754883	1.0	-0.280397447741758	1.0	-0.125359620471787	1.0	0.0258604716717228	1.0
ENSG00000006625	GGCT	0.856910197398639	1.0	0.197413859724175	1.0	0.108854909949079	1.0	0.0176112724574269	1.0
ENSG00000006634	DBF4	0.305386051014779	1.0	-0.0405931331278246	1.0	0.170885310801305	1.0	0.0422803613157621	1.0
ENSG00000006652	IFRD1	0.434353428045795	1.0	0.248006878178457	1.0	0.386443435505275	1.0	0.0441139545959013	1.0
ENSG00000006695	COX10	0.32717410106509	1.0	-0.0106601659106627	1.0	0.308388912410142	1.0	0.186130295356534	1.0
ENSG00000006704	GTF2IRD1	-0.520111834277917	1.0	0.237432825288383	1.0	-0.271876797871052	1.0	-0.369321496900717	1.0
ENSG00000006712	PAF1	0.309053802025304	1.0	0.0215939213805303	1.0	-0.200449690358947	1.0	-0.26840818084873	1.0
ENSG00000006715	VPS41	-0.266117985394497	1.0	-0.311479376950363	1.0	-0.293484465967989	1.0	-0.326704557346589	1.0
ENSG00000006744	ELAC2	0.615462425177314	1.0	0.0958461567255462	1.0	0.0475947299631887	1.0	-0.0698235598342629	1.0
ENSG00000006831	ADIPOR2	0.0042030775490209	1.0	0.154862990175326	1.0	-0.22595775847896	1.0	-0.198542197855007	1.0
ENSG00000006837	CDKL3	-1.16994291273745	1.0	-0.382618680009749	1.0	-0.158412736104234	1.0	-0.325656115430954	1.0
ENSG00000007047	MARK4	-0.598426829941997	1.0	0.0264708940898997	1.0	0.006727566356413	1.0	-0.0351095938562915	1.0
ENSG00000007080	CCDC124	0.578768835677529	1.0	0.0583316249036843	1.0	-0.0363675058013149	1.0	-0.073957399586412	1.0
ENSG00000007168	PAFAH1B1	0.508351987053667	1.0	-0.0200941422594836	1.0	0.0036145594800753	1.0	-0.005631021575164	1.0
ENSG00000007202	KIAA0100	0.726921070018768	1.0	0.0767387845316803	1.0	0.0717128375929468	1.0	0.111457095021812	1.0
ENSG00000007255	TRAPPC6A	-2.43838641689	0.0383443430889536	-0.281255375244221	1.0	-0.145920747244967	1.0	-0.0451581881149408	1.0
ENSG00000007341	ST7L	-0.337712569712283	1.0	-0.0851980548763316	1.0	-0.12724368239906	1.0	-0.117257992089458	1.0
ENSG00000007376	RPUSD1	1.26311330666172	0.621815920851764	0.0747420909348264	1.0	0.042657221068839	1.0	0.0014786627493634	1.0
ENSG00000007384	RHBDF1	-0.827299918865644	1.0	-0.0753531339183606	1.0	-0.300094254215407	1.0	-0.236771515466649	1.0
ENSG00000007392	LUC7L	0.690073779025682	1.0	-0.0782697049369343	1.0	-0.0668915556556549	1.0	-0.114126575655959	1.0
ENSG00000007520	TSR3	0.386432392356165	1.0	-0.150420668539173	1.0	0.0421040971011291	1.0	-0.0563489738262275	1.0
ENSG00000007541	PIGQ	0.0274356503812276	1.0	-0.543761311179285	1.0	-0.246161360094539	1.0	-0.14957400402653	1.0
ENSG00000007545	CRAMP1	0.190269575736923	1.0	0.291080788926767	1.0	0.156721593487424	1.0	-0.288589971523713	1.0
ENSG00000007866	TEAD3	-0.306860230974438	1.0	0.460887936951813	1.0	-0.138838984900214	1.0	-0.138186142529242	1.0
ENSG00000007923	DNAJC11	0.665258369085797	1.0	-0.231592406265303	1.0	-0.0370396208060475	1.0	-0.0759789303727993	1.0
ENSG00000007944	MYLIP	-0.246339397174015	1.0	-0.0534035206426866	1.0	0.19525931011572	1.0	0.148563187138836	1.0
ENSG00000007968	E2F2	0.649208512616168	1.0	-1.91412635316815	0.760258407276691	-0.693689213646974	1.0	-0.8408779291848	1.0
ENSG00000008018	PSMB1	0.429274123594181	1.0	-0.34235223835905	1.0	0.170886858830573	1.0	0.156386344698276	1.0
ENSG00000008083	JARID2	-0.117453491781514	1.0	0.758752119735924	1.0	0.408613770153281	1.0	0.552223304286404	1.0
ENSG00000008086	CDKL5	-0.957177841397551	1.0	-0.597729957952646	1.0	-0.477251183675143	1.0	0.0489792334703747	1.0
ENSG00000008128	CDK11A	0.0401910164253834	1.0	-0.0709030464483602	1.0	0.350769142082584	1.0	-0.300348966229886	1.0
ENSG00000008130	NADK	-0.174019205486024	1.0	0.048201539307045	1.0	-0.0615400872858354	1.0	0.0058784493826458	1.0
ENSG00000008256	CYTH3	0.16678993227752	1.0	0.381252261923048	1.0	-0.444948796462191	1.0	-0.609278257607508	1.0
ENSG00000008277	ADAM22	0.552222590800854	1.0	-0.922567322726143	1.0	0.336219164360901	1.0	-0.297538939002964	1.0
ENSG00000008282	SYPL1	0.242444621954365	1.0	0.160971504974333	1.0	0.0388065953723418	1.0	0.0831152762887619	1.0
ENSG00000008283	CYB561	0.284595480491868	1.0	0.424152355595808	1.0	-0.180455719322473	1.0	-0.227637027627432	1.0
ENSG00000008294	SPAG9	-0.118803461887548	1.0	0.544622102232839	1.0	0.139196739939174	1.0	0.154046250161314	1.0
ENSG00000008300	CELSR3	-0.742963738593582	1.0	0.579247054956216	1.0	-0.552445548468333	1.0	-0.415924231741973	1.0
ENSG00000008311	AASS	-0.0437101977668366	1.0	-0.431604174580229	1.0	0.318505007934332	1.0	0.184232397467485	1.0
ENSG00000008324	SS18L2	0.300725595141563	1.0	0.339682280640897	1.0	0.30702444095816	1.0	0.210348094495021	1.0
ENSG00000008382	MPND	-0.760834289392767	1.0	-0.681371948553696	1.0	-0.29473070317949	1.0	-0.249694917213615	1.0
ENSG00000008394	MGST1	0.712662254369086	1.0	-0.058531762722863	1.0	0.29228932916442	1.0	0.354237299221507	1.0
ENSG00000008405	CRY1	-0.570749823871714	1.0	0.0896793573155028	1.0	0.0410785874966342	1.0	-0.0479727090383317	1.0
ENSG00000008441	NFIX	0.123102916504533	1.0	0.692491958329852	1.0	-0.0166795366692787	1.0	0.0174471242924152	1.0
ENSG00000008513	ST3GAL1	-0.400040835577611	1.0	0.540350735900817	1.0	0.609522465001758	1.0	0.748759164905681	1.0
ENSG00000008517	IL32	-0.946353111274816	1.0	1.12542492412356	1.0	-0.170813589493827	1.0	-0.110456910222865	1.0
ENSG00000008710	PKD1	-0.332922138796428	1.0	0.625121478589253	1.0	-0.0308629055169494	1.0	-0.204428470864869	1.0
ENSG00000008838	MED24	0.0783844851045217	1.0	-0.263696361125614	1.0	0.198073666261475	1.0	0.570564389268936	1.0
ENSG00000008853	RHOBTB2	0.758921450570281	1.0	-0.134200084221058	1.0	0.0484565677106259	1.0	0.134885096258369	1.0
ENSG00000008869	HEATR5B	-0.370899412150444	1.0	0.73196984951751	1.0	0.076902670228014	1.0	0.361101219868624	1.0
ENSG00000008952	SEC62	-0.160395996507184	1.0	-0.270003190868453	1.0	-0.0526223985404473	1.0	-0.0678441061867083	1.0
ENSG00000008988	RPS20	-0.103496709673948	1.0	0.0107218509043889	1.0	0.10556880721081	1.0	0.161258400959207	1.0
ENSG00000009307	CSDE1	-0.12602018680629	1.0	-0.0928628954217654	1.0	0.0111853871082115	1.0	-0.0006064001890671	1.0
ENSG00000009335	UBE3C	0.4856030880122	1.0	-0.0763178325036833	1.0	-0.0807539043280787	1.0	0.0997295489317684	1.0
ENSG00000009413	REV3L	0.431631015474887	1.0	0.313799455524569	1.0	-0.329832176535041	1.0	-0.41081874673695	1.0
ENSG00000009780	FAM76A	-0.217190933703529	1.0	0.0468005314057169	1.0	-0.442123012951268	1.0	-0.254208479722633	1.0
ENSG00000009830	POMT2	0.505271020569063	1.0	0.229903126519155	1.0	0.0693508439969568	1.0	-0.0422378570929904	1.0
ENSG00000009844	VTA1	0.271616906412254	1.0	-0.0845928461624075	1.0	-0.189149762881928	1.0	-0.157838918669438	1.0
ENSG00000009950	MLXIPL	0.0017510684581389	1.0	0.572865247844701	1.0	0.786940559690661	1.0	-0.648107794870526	1.0
ENSG00000009954	BAZ1B	0.445976872961081	1.0	-0.0399309208331413	1.0	-0.173885280006798	1.0	-0.201426662115079	1.0
ENSG00000010017	RANBP9	-0.183353593637935	1.0	-0.342644793633275	1.0	0.0269546723756822	1.0	-0.0001178425135481	1.0
ENSG00000010072	SPRTN	0.48857384592264	1.0	-0.0802694681242611	1.0	-0.0613667473135036	1.0	-0.3698086068139	1.0
ENSG00000010165	EEF1AKNMT	0.751421547446903	1.0	0.291662230455771	1.0	-0.182852724747153	1.0	-0.228311346405975	1.0
ENSG00000010219	DYRK4	-0.557947574006864	1.0	0.0195033655576395	1.0	-0.183810389967542	1.0	-0.0989902876398498	1.0
ENSG00000010244	ZNF207	0.904879317591314	1.0	-0.95935728951543	1.0	0.267957316751743	1.0	-0.0155780443906295	1.0
ENSG00000010256	UQCRC1	0.228629752467711	1.0	-0.0656551258757236	1.0	0.348083877522139	1.0	0.341088878812486	1.0
ENSG00000010270	STARD3NL	-0.224602885840348	1.0	0.0780212623263274	1.0	0.1176593267174	1.0	0.0645782021149715	1.0
ENSG00000010278	CD9	-0.0178243868573054	1.0	0.0911855561392194	1.0	0.260669583198455	1.0	0.328516176194376	1.0
ENSG00000010292	NCAPD2	1.01727409654024	1.0	-0.454890113990816	1.0	0.0454166065952641	1.0	0.0408537269786038	1.0
ENSG00000010295	IFFO1	-2.50131966158062	7.65096268002961e-07	0.541181676399113	1.0	-0.100760634718873	1.0	-0.0715427277585858	1.0
ENSG00000010318	PHF7	0.473841579180212	1.0	-0.337675950052652	1.0	-0.360857229655172	1.0	0.0467738882790179	1.0
ENSG00000010322	NISCH	-0.496081688822047	1.0	-0.0872357988681012	1.0	0.377214425515096	1.0	0.0079248129174818	1.0
ENSG00000010361	FUZ	-0.781435232599474	1.0	-1.10253060314739	1.0	0.127115345053692	1.0	-0.0790023431857998	1.0
ENSG00000010404	IDS	-0.0481952621017774	1.0	0.428186366512596	1.0	-0.33219252903799	1.0	-0.408121179157657	1.0
ENSG00000010438	PRSS3	0.329978269202417	1.0	0.541612574379556	1.0	0.65915921103758	1.0	0.716931230407465	1.0
ENSG00000010539	ZNF200	0.370570870038219	1.0	0.148149519682926	1.0	-0.0317279866691109	1.0	-0.110877152040645	1.0
ENSG00000010626	LRRC23	-0.936434599836081	1.0	-0.286080762572019	1.0	-0.326284424494262	1.0	-0.267893044130457	1.0
ENSG00000010704	HFE	-1.00679493724025	1.0	-0.436944427722709	1.0	-0.389518886398673	1.0	-0.378416045023453	1.0
ENSG00000010803	SCMH1	0.0576068658481299	1.0	0.0390396644928499	1.0	-0.0002300335228238	1.0	-0.0703917323701928	1.0
ENSG00000010810	FYN	-1.11422024048677	0.632553131662874	-0.0715314551556023	1.0	-0.291157848578084	1.0	-0.414346703475764	1.0
ENSG00000010818	HIVEP2	-0.680550937874929	1.0	0.264888854871975	1.0	0.498355052110487	1.0	0.318843757276797	1.0
ENSG00000011007	ELOA	0.336815020850962	1.0	0.330850164483023	1.0	0.0477923617616476	1.0	0.0747661758972171	1.0
ENSG00000011009	LYPLA2	0.721575314427723	1.0	0.618836978434961	1.0	0.449649347965771	1.0	0.249873770810193	1.0
ENSG00000011021	CLCN6	-0.600016274140707	1.0	-0.169261330457842	1.0	-0.0731480954907111	1.0	0.137232055223548	1.0
ENSG00000011028	MRC2	-1.07499949931015	1.0	-0.0281152032429279	1.0	-0.0167715680529135	1.0	-0.524324063674812	1.0
ENSG00000011052	NME1-NME2	0.503819287260791	1.0	0.351327201584189	1.0	-0.553807730984505	1.0	-0.613663589035088	1.0
ENSG00000011105	TSPAN9	-0.565551741361457	1.0	-0.86770315463311	1.0	0.0900193221406926	1.0	0.364002832540766	1.0
ENSG00000011114	BTBD7	0.926866067764823	1.0	0.57640932787715	1.0	-0.705016539674262	1.0	0.107040180542979	1.0
ENSG00000011132	APBA3	-0.115156638684353	1.0	-0.232535006543432	1.0	-0.0278174537968017	1.0	0.106002759818903	1.0
ENSG00000011143	MKS1	-0.58859335439987	1.0	-0.730734661570884	1.0	-0.0708205824940951	1.0	0.221548746735707	1.0
ENSG00000011198	ABHD5	1.13458812233557	1.0	1.08049894737293	1.0	0.373912509847723	1.0	0.350461737755071	1.0
ENSG00000011243	AKAP8L	-0.157098044770563	1.0	0.460175828328659	1.0	-0.0131260939516	1.0	0.206810377286556	1.0
ENSG00000011258	MBTD1	-0.795826285020776	1.0	-0.110776847149591	1.0	-0.248286014006007	1.0	-0.228920624685555	1.0
ENSG00000011260	UTP18	0.188832241013444	1.0	-0.12803786627558	1.0	0.0906156339780386	1.0	0.061088105693897	1.0
ENSG00000011275	RNF216	-0.518780324223756	1.0	-0.268176445696251	1.0	-0.0659652081929893	1.0	-0.147521777193941	1.0
ENSG00000011295	TTC19	-0.341025495279101	1.0	-0.0543138724778824	1.0	-0.0797550028214697	1.0	-0.170986927724309	1.0
ENSG00000011304	PTBP1	0.590168253892607	1.0	0.267997970919541	1.0	-0.0088335849020087	1.0	0.166502999075055	1.0
ENSG00000011332	DPF1	0.0702823773012788	1.0	-0.715973893631128	1.0	0.257604014964059	1.0	-0.24001261842506	1.0
ENSG00000011347	SYT7	0.374136792470968	1.0	1.56912475264347	1.0	-0.59851468801582	1.0	-0.215251790409447	1.0
ENSG00000011376	LARS2	0.512887149951747	1.0	-0.230998680223172	1.0	0.0756067155243354	1.0	-0.147631071604118	1.0
ENSG00000011405	PIK3C2A	0.0630670972431977	1.0	0.880094438299954	1.0	-0.37350662330441	1.0	-0.256512576598304	1.0
ENSG00000011422	PLAUR	0.327674281422325	1.0	0.528581282669283	1.0	1.17202777210032	1.0	1.22280651748898	1.0
ENSG00000011426	ANLN	1.28032978098819	0.0006715412510995	0.0089467691812927	1.0	-0.137372895211072	1.0	-0.272834590445632	1.0
ENSG00000011451	WIZ	-0.226963203478781	1.0	0.223818972469243	1.0	-0.0037412496273532	1.0	0.0368776681545224	1.0
ENSG00000011454	RABGAP1	-0.0210071671595742	1.0	-0.21418933310696	1.0	0.191996052035178	1.0	0.193236123038909	1.0
ENSG00000011478	QPCTL	0.441447439626925	1.0	-0.288540042960088	1.0	0.467327674391635	1.0	0.294270364646388	1.0
ENSG00000011485	PPP5C	-0.0986253077602797	1.0	-0.125196518843483	1.0	-0.0882248270974442	1.0	-0.0716944303643867	1.0
